ESTIBA|NIVEL|OP|ESTADO|COLADA|PRODUCTO|LOTE|PIEZAS|ACERO|DIAMETRO|ESPESOR|OCUPACION STOCK|OCUPACION_ESTIBA|FCH_STOCK|TONS|LINGADA|EN USO|PZS CARGAR
7E7|9|5174801|20|52038|85365|999999|6|714|127.000000|9.190000|3.40|20.40|22/05/2030 05:30:21|39.27|E1837635||0
7E7|10|5174801|20|52038|85365|999999|4|714|127.000000|9.190000|3.40|20.40|22/05/2030 05:30:21|39.27|E1837636||0
7E7|11|5174801|20|52062|85365|999999|15|714|127.000000|9.190000|3.40|20.40|22/05/2030 05:30:21|39.27|E1837637||0
7E7|12|5174801|20|52062|85365|999999|17|714|127.000000|9.190000|3.40|20.40|22/05/2030 05:30:21|39.27|E1837638||0
7E10|1|0935807|20|49118|11215|999999|12|619|127.000000|11.100000|3.40|29.45|22/05/2030 05:30:21|33.70|E1836071||0
7E10|2|0935807|20|49118|11215|999999|12|619|127.000000|11.100000|3.40|29.45|22/05/2030 05:30:21|33.70|E1836073||0
7E10|3|0935807|20|49118|11215|999999|12|619|127.000000|11.100000|3.40|29.45|22/05/2030 05:30:21|33.70|E1836072||0
7E10|4|0935807|20|49118|11215|999999|12|619|127.000000|11.100000|3.40|29.45|22/05/2030 05:30:21|33.70|E1836070||0
7E10|5|0935807|20|49118|11215|999999|8|619|127.000000|11.100000|3.40|29.45|22/05/2030 05:30:21|33.70|E1836074||0
7E10|6|5199505|20|20919|62243|999999|6|658|168.300000|7.920000|4.15|29.45|22/05/2030 05:30:21|33.70|E1836757||0
7E10|7|5199505|20|20919|62243|999999|6|658|168.300000|7.920000|4.15|29.45|22/05/2030 05:30:21|33.70|E1836758||0
7E10|8|5199505|20|20919|62243|999999|6|658|168.300000|7.920000|4.15|29.45|22/05/2030 05:30:21|33.70|E1836760||0
7E6|1|8077001|20|28595|85096|999999|13|714|193.680000|7.620000|4.61|92.25|22/05/2030 05:30:21|137.68|E1835208||0
